X,Y,OBJECTID,ACCIDENT_N,ACCIDENT_D,ACC_TIME,NO_VEHICLE,ACCIDENT_T,ACC_T_DESC,ABS_CODE,PERSON_ID,AGE,RD_USER_T,RD_U_DESC,SEX,LOCATION_D,NODE_ID,LOCATION_T,NODE_TYPE,N_TYPE_DES,ROAD_ROUTE,RD_NAME_1,RD_TYPE_1,RD_NAME_2,RD_TYPE_2,DEC_RD_DES,LGA_NAME,REGION_NAM,STAT_DIV_N,AMG_X,AMG_Y,LATITUDE,LONGITUDE
2508215.796,2400842.975,1,T20150013823,2015/07/01 00:00:00+00,03.:0.00,3,1,Collision with vehicle,A,A,39,4,Motorcyclists,M,At Int of DANDENONG ROAD and ATKINSON STREET,41584,I,I,Intersection,2510,DANDENONG,ROAD,ATKINSON,STREET,Declared Road,MONASH,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2508215.796,2400842.975,-37.89348219,145.0934074
2393914.484,2380247.44,2,T20150013938,2015/07/02 00:00:00+00,14.:2.00,2,1,Collision with vehicle,A,1,18,3,Passengers,M,On HAMILTON HIGHWAY 902m W from Int BARUNAH PLAINS ROAD,291136,N,N,Non Intersection,2780,HAMILTON,HIGHWAY,BARUNAH PLAINS,ROAD,Declared Road,COLAC OTWAY,SOUTH WESTERN REGION,Country,2393914.484,2380247.44,-38.07300206,143.7909792
2591342.411,2607576.833,3,T20150014033,2015/07/03 00:00:00+00,15.:3.00,2,1,Collision with vehicle,A,1,46,3,Passengers,M,At Int of CAHILLS ROAD and OLD WILBY ROAD,223918,I,I,Intersection,9999,CAHILLS,ROAD,OLD WILBY,ROAD,Non Declared Road,MOIRA,NORTH EASTERN REGION,Country,2591342.411,2607576.833,-36.02608249,146.013434
2591342.411,2607576.833,4,T20150014033,2015/07/03 00:00:00+00,15.:3.00,2,1,Collision with vehicle,A,A,65,2,Drivers,M,At Int of CAHILLS ROAD and OLD WILBY ROAD,223918,I,I,Intersection,9999,CAHILLS,ROAD,OLD WILBY,ROAD,Non Declared Road,MOIRA,NORTH EASTERN REGION,Country,2591342.411,2607576.833,-36.02608249,146.013434
2508126.719,2488400.553,5,T20150014077,2015/07/04 00:00:00+00,12.:4.00,2,1,Collision with vehicle,A,A,49,4,Motorcyclists,M,On HUME FREEWAY 34m from BRIDGE OVER NTH EASTERN RAILWAY (STH A (OT) AFTER 83 (KM),291233,N,N,Non Intersection,2550,HUME,FREEWAY,HUME,FREEWAY,Declared Road,MITCHELL,NORTHERN REGION,Country,2508126.719,2488400.553,-37.10450028,145.0914385
2564973.052,2476688.783,6,T20150014094,2015/07/05 00:00:00+00,01.:4.00,1,4,Collision with a fixed object,A,A,37,2,Drivers,M,On GOULBURN VALLEY HIGHWAY 1356m N from Int MT PLEASANT ROAD,291232,N,N,Non Intersection,2640,GOULBURN VALLEY,HIGHWAY,MT PLEASANT,ROAD,Declared Road,MURRINDINDI,NORTH EASTERN REGION,Country,2564973.052,2476688.783,-37.20782972,145.732049
2392701.872,2354837.167,7,T20150014262,2015/07/07 00:00:00+00,15.:5.00,1,4,Collision with a fixed object,A,A,42,2,Drivers,M,On PRINCES HIGHWAY 49m W from Int MCDONNELLS ROAD,291328,N,N,Non Intersection,2500,PRINCES,HIGHWAY,MCDONNELLS,ROAD,Declared Road,COLAC OTWAY,SOUTH WESTERN REGION,Country,2392701.872,2354837.167,-38.30175047,143.77343
2232974.151,2529269.447,8,T20150014547,2015/07/11 00:00:00+00,21.:0.00,1,4,Collision with a fixed object,A,A,51,2,Drivers,M,On QUANTONG-POLKEMMET ROAD 98m S from Int OBREES ROAD,291496,N,N,Non Intersection,9999,QUANTONG-POLKEMMET,ROAD,OBREES,ROAD,Non Declared Road,HORSHAM,WESTERN REGION,Country,2232974.151,2529269.447,-36.69842999,142.0109598
2900732.511,2434540.649,9,T20150014842,2015/07/16 00:00:00+00,16.:0.00,1,5,Collision with some other object,A,A,74,2,Drivers,M,On PRINCES HIGHWAY 1763m NE from Int JONES CREEK ROAD,175304,N,N,Non Intersection,2510,PRINCES,HIGHWAY,JONES CREEK,ROAD,Declared Road,EAST GIPPSLAND,EASTERN REGION,Country,2900732.511,2434540.649,-37.50388157,149.5343317
2238245.823,2398676.09,10,T20150015013,2015/07/18 00:00:00+00,16.:0.00,1,4,Collision with a fixed object,A,A,20,4,Motorcyclists,M,On COLES TRACK 1104m S from Int MENZLES PIT ROAD,292287,N,N,Non Intersection,9999,COLES,TRACK,MENZLES PIT,ROAD,Non Declared Road,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,Country,2238245.823,2398676.09,-37.87618026,142.0242525
