LGA_code,LGA_name,Population
20110,ALPINE,12973
20260,ARARAT,11965
20570,BALLARAT,111361
20660,BANYULE,131940
20740,BASS COAST,37445
20830,BAW BAW,54884
20910,BAYSIDE,107541
21010,BENALLA,14137
21110,BOROONDARA,183023
21180,BRIMBANK,208247
21270,BULOKE,6101
21370,CAMPASPE,37675
21450,CARDINIA,116193
21610,CASEY,364600
21670,CENTRAL GOLDFIELDS,13092
21750,COLAC OTWAY,21662
21830,CORANGAMITE,15929
21890,DAREBIN,166430
22110,EAST GIPPSLAND,47725
22170,FRANKSTON,143338
22250,GANNAWARRA,10400
22310,GLEN EIRA,158216
22410,GLENELG,19621
22490,GOLDEN PLAINS,24249
22620,GREATER BENDIGO,119980
22670,GREATER DANDENONG,168362
22750,GREATER GEELONG,264866
22830,GREATER SHEPPARTON,67070
22910,HEPBURN,16157
22980,HINDMARSH,5592
23110,HOBSONS BAY,98189
23190,HORSHAM,20018
23270,HUME,241188
23350,INDIGO,16885
23430,KINGSTON,167293
23670,KNOX,165147
23810,LATROBE,75915
23940,LODDON,7473
24130,MACEDON RANGES,50971
24210,MANNINGHAM,128929
24250,MANSFIELD,9474
24330,MARIBYRNONG,94982
24410,MAROONDAH,119401
24600,MELBOURNE,183756
24650,MELTON,172500
24780,MILDURA,55937
24850,MITCHELL,47647
24900,MOIRA,30018
24970,MONASH,204936
25060,MOONEE VALLEY,131753
25150,MOORABOOL,36013
25250,MORELAND,188762
25340,MORNINGTON PENINSULA,168862
25430,MOUNT ALEXANDER,20001
25490,MOYNE,17027
25620,MURRINDINDI,14661
25710,NILLUMBIK,65219
25810,NORTHERN GRAMPIANS,11403
25900,PORT PHILLIP,116476
25990,PYRENEES,7555
26080,QUEENSCLIFFE,3008
26170,SOUTH GIPPSLAND,30248
26260,SOUTHERN GRAMPIANS,16134
26350,STONNINGTON,118614
26430,STRATHBOGIE,10992
26490,SURF COAST,34771
26610,SWAN HILL,20534
26670,TOWONG,6102
26700,WANGARATTA,29197
26730,WARRNAMBOOL,35533
26810,WELLINGTON,44770
26890,WEST WIMMERA,3810
26980,WHITEHORSE,180735
27070,WHITTLESEA,236539
27170,WODONGA,42662
27260,WYNDHAM,283294
27350,YARRA,103125
27450,YARRA RANGES,159955
27630,YARRIAMBIACK,6588
